"","Year","Biomass_Category","Uniq_Transect","Site","Locality.x","Biomass_Transect","Biomass_g_per_100m2_Transect","Locality.y","Zone","Area","Latitude","Longitude","Notes"
"1","2010","C","2010.F.1062BR.1","1062BR","1062",272.264406830939,453.774011384898,"1062","Backreef","Atoll","17.25613","-87.95623",NA
"2","2010","C","2010.F.1062BR.2","1062BR","1062",164.529707497918,274.216179163197,"1062","Backreef","Atoll","17.25613","-87.95623",NA
"3","2010","C","2010.F.1062BR.3","1062BR","1062",0,0,"1062","Backreef","Atoll","17.25613","-87.95623",NA
"4","2010","C","2010.F.1062BR.4","1062BR","1062",148.721918310437,247.869863850728,"1062","Backreef","Atoll","17.25613","-87.95623",NA
"5","2010","C","2010.F.1062BR.5","1062BR","1062",131.155967320116,218.59327886686,"1062","Backreef","Atoll","17.25613","-87.95623",NA
"6","2010","C","2010.F.1062BR.6","1062BR","1062",0,0,"1062","Backreef","Atoll","17.25613","-87.95623",NA
"7","2010","C","2010.F.1062BR.7","1062BR","1062",0,0,"1062","Backreef","Atoll","17.25613","-87.95623",NA
"8","2010","C","2010.F.1062BR.8","1062BR","1062",0,0,"1062","Backreef","Atoll","17.25613","-87.95623",NA
"9","2010","C","2010.F.1062DFR.1","1062DFR","1062",0,0,"1062","Deep_Forereef","Atoll","17.2603","-87.96102",NA
"10","2010","C","2010.F.1062DFR.2","1062DFR","1062",48.0227121274237,80.0378535457062,"1062","Deep_Forereef","Atoll","17.2603","-87.96102",NA
"11","2010","C","2010.F.1062DFR.3","1062DFR","1062",0,0,"1062","Deep_Forereef","Atoll","17.2603","-87.96102",NA
"12","2010","C","2010.F.1062DFR.4","1062DFR","1062",0,0,"1062","Deep_Forereef","Atoll","17.2603","-87.96102",NA
"13","2010","C","2010.F.1062DFR.5","1062DFR","1062",0,0,"1062","Deep_Forereef","Atoll","17.2603","-87.96102",NA
"14","2010","C","2010.F.1062DFR.6","1062DFR","1062",0,0,"1062","Deep_Forereef","Atoll","17.2603","-87.96102",NA
"15","2010","C","2010.F.1062DFR.7","1062DFR","1062",0,0,"1062","Deep_Forereef","Atoll","17.2603","-87.96102",NA
"16","2010","C","2010.F.1062DFR.8","1062DFR","1062",0,0,"1062","Deep_Forereef","Atoll","17.2603","-87.96102",NA
"17","2010","C","2010.F.1062SFR.1","1062SFR","1062",3668.30375860739,6113.83959767898,"1062","Shallow_Forereef","Atoll","17.25871","-87.95925",NA
"18","2010","C","2010.F.1062SFR.2","1062SFR","1062",2877.81901941732,4796.3650323622,"1062","Shallow_Forereef","Atoll","17.25871","-87.95925",NA
"19","2010","C","2010.F.1062SFR.3","1062SFR","1062",5429.30112124695,9048.83520207825,"1062","Shallow_Forereef","Atoll","17.25871","-87.95925",NA
"20","2010","C","2010.F.1062SFR.4","1062SFR","1062",0,0,"1062","Shallow_Forereef","Atoll","17.25871","-87.95925",NA
"21","2010","C","2010.F.1062SFR.5","1062SFR","1062",0,0,"1062","Shallow_Forereef","Atoll","17.25871","-87.95925",NA
"22","2010","C","2010.F.1062SFR.6","1062SFR","1062",0,0,"1062","Shallow_Forereef","Atoll","17.25871","-87.95925",NA
"23","2010","C","2010.F.1062SFR.7","1062SFR","1062",0,0,"1062","Shallow_Forereef","Atoll","17.25871","-87.95925",NA
